Booking_id,booking_Date,Customer_ID,State,City,Occupation,purpose_of_trip,Destination_place,Hotel_name,Mode_of_transport,Age,Marital_Status,trip_type,days_of_stay,Amount_Spent,booking_channel,Payment_method,repeated_customer,Trip_Score,Destination_Score,Total_Satisfication_Score
1403,30-12-2022,1,Andhra Pradesh,Ongole,IT,Leisure,Ooty, Taj Exotica Resort & Spa           ,Bus,21,Married,one-way,0,8300,mobile,Cash,yes,9,8,8.5
1355,25-02-2022,2,Andhra Pradesh,Rajahmundry,Arts,Leisure,Mysore," Wildflower Hall, An Oberoi Resort  ",Ship,21,Married,Round-trip,2,11700,mobile,Cash,yes,7,10,8.5
2120,16-02-2021,3,Andhra Pradesh,Nandyal,Government-sector,Leisure,Amritsar, Rambagh Palace                     ,Ship,35,Married,Round-trip,2,10000,mobile,Debit_card,no,5,9,7.0
1750,13-12-2022,4,Andhra Pradesh,Gudur,Finance,Leisure,Amritsar, The Oberoi Udaivilas               ,Bus,46,Unmarried,one-way,0,5600,meta search,Cash,yes,3,10,6.5
2133,30-05-2023,5,Andhra Pradesh,Tirupati,IT,Leisure,Goa, The Oberoi Amarvilas               ,Aeroplane,24,Unmarried,Round-trip,3,11200,mobile,Credit_card,yes,6,9,7.5
1730,30-03-2021,5,Andhra Pradesh,Gudur,IT,Leisure,Shimla, Taj Nadesar Palace                 ,Bus,24,Unmarried,Round-trip,4,19300,mobile,Debit_card,yes,3,6,4.5
1220,29-07-2021,7,Andhra Pradesh,Vijayawada,IT,Leisure,Shimla, Windermere Estate                  ,Aeroplane,26,Married,one-way,0,9100,website,Cash,yes,3,3,3.0
1458,02-05-2020,8,Andhra Pradesh,Tadipatri,Government-sector,Leisure,Srinagar, Ananda in the Himalayas            ,Aeroplane,52,Unmarried,Round-trip,4,10400,meta search,Credit_card,no,9,10,9.5
2128,22-08-2021,878,Andhra Pradesh,Peddapuram,Finance,Leisure,Madurai, Savoy - IHCL SeleQtions            ,Aeroplane,43,Married,Multi-city,13,38800,travel agent,Cash,yes,6,10,8.0
1977,30-09-2022,982,Andhra Pradesh,Peddapuram,Government-sector,Business,Varanasi, Mayfair Darjeeling                 ,Bus,54,Married,one-way,0,5000,mobile,Cash,yes,10,10,10.0
1136,27-06-2022,11,Andhra Pradesh,Adoni,IT,Leisure,Shimla, Suryagarh                          ,Bus,23,Married,Round-trip,5,13300,mobile,Credit_card,yes,3,7,5.0
1826,10-11-2020,12,Andhra Pradesh,Bapatla,Arts,Education,Mysore, Lake Palace Resort                 ,Aeroplane,32,Unmarried,Round-trip,4,10000,travel agent,Cash,no,8,10,9.0
1858,20-07-2020,13,Andhra Pradesh,Nuzvid,Government-sector,Business,Srinagar, The Himalayan                       ,Bus,35,Unmarried,Round-trip,3,7600,mobile,Cash,no,7,9,8.0
1281,26-10-2022,14,Andhra Pradesh,Srikakulam,IT,Business,Coorg, Palais de Mahe                     ,Ship,29,Married,Round-trip,4,18400,travel agent,Debit_card,yes,10,8,9.0
1642,09-02-2021,5,Andhra Pradesh,Eluru,IT,Leisure,Goa, The Grand Dragon Ladakh            ,Ship,24,Unmarried,Round-trip,5,11900,travel agent,Cash,yes,6,9,7.5
2649,26-06-2021,7,Andhra Pradesh,Visakhapatnam,IT,Business,Ooty," Evolve Back, Hampi                 ",Ship,26,Married,Round-trip,4,16000,travel agent,Credit_card,yes,8,6,7.0
1349,12-07-2020,17,Andhra Pradesh,Repalle,IT,Leisure,Ooty, Taj Madikeri Resort & Spa          ,Ship,23,Unmarried,one-way,0,7200,mobile,Debit_card,yes,8,9,8.5
2096,12-01-2022,652,Andhra Pradesh,Visakhapatnam,Finance,Business,Madurai, Radisson Blu Resort Temple Bay     ,Aeroplane,65,Married,Round-trip,3,9500,travel agent,Debit_card,yes,7,10,8.5
1636,21-05-2020,788,Andhra Pradesh,Tadipatri,Students,Education,Kanyakumari, The Oberoi Vanyavilas              ,Ship,6,Unmarried,Round-trip,2,14200,travel agent,Cash,yes,8,8,8.0
